Время,Предмет,Преподаватель,День недели,Подгруппа,Аудитория,Вид,Направление
09.00-10.20,Информационно-коммуникационные системы и сети,Сукачев А.И,Понедельник,2.0,30,лаб,ИТ-3
10.30-11.50,Анализ больших данных,Скрипников О.А.,Понедельник,2.0,30,лаб,ИТ-3
12.10-13.30,Информационно-коммуникационные системы и сети,Сукачев А.И.,Понедельник,1.2,28,лек,ИТ-3
13.40-15.00,Методы и средства проектирования информационных систем и технологий,Сукачев А.И.,Понедельник,1.2,29,лек,ИТ-3
15.20-16.40,Информационно-коммуникационные системы и сети,Сукачев А.И.,Понедельник,1.0,29,лаб,ИТ-3
09.00-10.20,Социология и политология,Смирнов А.В.,Вторник,1.2,8,лек,ИТ-3
09.00-10.20,Численные методы,Кузьменко Р.В.,Вторник,1.2,29,лек,ИТ-3
10.30-11.50,Численные методы,Кузьменко Р.В.,Вторник,1.0,29,лаб,ИТ-3
10.30-11.50,Методы и средства проектирования информационных систем и технологий,Сукачев А.И.,Вторник,2.0,30,лаб,ИТ-3
12.10-13.30,Методы и средства проектирования информационных систем и технологий,Сукачев А.И.,Вторник,1.0,29,лаб,ИТ-3
12.10-13.30,Анализ больших данных,Скрипников О.А.,Вторник,2.0,30,лаб,ИТ-3
12.10-13.30,Численные методы,Кузьменко Р.В.,Вторник,2.0,30,лаб,ИТ-3
13.40-15.00,Моделирование процессов и систем,Скрипников О.А.,Вторник,1.0,29,лаб,ИТ-3
13.40-15.00,Автоматизация перегрузочного процесса в портах и транспортных терминалах,Скрипников О.А.,Вторник,2.0,30,лаб,ИТ-3
13.40-15.00,Численные методы,Кузьменко Р.В.,Вторник,2.0,30,лаб,ИТ-3
15.20-16.40,Социология и политология,Смирнов А.В.,Вторник,1.2,28,сем,ИТ-3
09.00-10.20,Анализ больших данных,Скрипников О.А.,Среда,1.0,29,лаб,ИТ-3
09.00-10.20,Автоматизация перегрузочного процесса в портах и транспортных терминалах,Скрипников О.А.,Среда,1.0,29,лаб,ИТ-3
10.30-11.50,Автоматизация перегрузочного процесса в портах и транспортных терминалах,Скрипников О.А.,Среда,1.2,28,лек,ИТ-3
12.10-13.30,Анализ больших данных,Скрипников О.А.,Среда,1.2,28,лек,ИТ-3
13.40-15.00,Моделирование процессов и систем,Скрипников О.А.,Среда,1.0,30,лаб,ИТ-3
13.40-15.00,Анализ больших данных,Скрипников О.А.,Среда,1.2,27,лек,ИТ-3
09.00-10.20,Управление IT-проектами,Черняева С.Н.,Четверг,1.2,30,лек,ИТ-3
10.30-11.50,Управление IT-проектами,Черняева С.Н.,Четверг,1.2,30,лаб,ИТ-3
12.10-13.30,Моделирование процессов и систем,Скрипников О.А.,Четверг,1.2,29,лек,ИТ-3
13.40-15.00,Моделирование процессов и систем,Скрипников О.А.,Четверг,2.0,29,лаб,ИТ-3
09.00-13.30,Производственная практика. ,Черняева С.Н.,Пятница,1.2,31,прак,ИТ-3
13.40-15.00,Анализ больших данных, Косарева Е.А.,Пятница,1.2,31,лаб,ИТ-3
,,,,,,,
,,,,,,,
,,,,,,,
10.30-11.50,Анализ больших данных,Скрипников О.А.,Понедельник,2.0,30,лаб,ИТ-2
12.10-13.30,Моделирование процессов и систем,Скрипников О.А.,Понедельник,1.2,28,лек,ИТ-2
13.40-15.00,Моделирование процессов и систем,Скрипников О.А.,Понедельник,1.2,30,лаб,ИТ-2
,,,,,,,
10.30-11.50,Психология,Сиволапова.Е.А,Вторник,1.0,28,сем,ИТ-2
12.10-13.30,Психология,Сиволапова.Е.А,Вторник,1.0,28,лек,ИТ-2
12.10-13.30,Философия,Смирнов А.В.,Вторник,1.0,28,сем,ИТ-2
13.40-15.00,Философия,Смирнов А.В.,Вторник,1.0,28,лек,ИТ-2
15.20-16.40,Философия,Смирнов А.В.,Вторник,1.0,28,лек,ИТ-2
,,,,,,,
09.00-10.20,Анализ больших данных,Скрипников О.А.,Среда,2.0,29,лаб,ИТ-2
09.00-10.20,Автоматизация перегрузочного процесса в портах и транспортных терминалах,Скрипников О.А.,Среда,2.0,29,лаб,ИТ-2
10.30-11.50,Базовые информационные процессы и технологии на транспорте,Черняева С.Н.,Среда,1.0,30,лек,ИТ-2
10.30-11.50,Базовые информационные процессы и технологии на транспорте,Черняева С.Н.,Среда,1.0,30,лаб,ИТ-2
10.30-11.50,Автоматизация перегрузочного процесса в портах и транспортных терминалах,Скрипников О.А.,Среда,2.0,28,лек,ИТ-2
12.10-13.30,Базовые информационные процессы и технологии на транспорте,Черняева С.Н.,Среда,1.0,30,лек,ИТ-2
12.10-13.30,Анализ больших данных,Скрипников О.А.,Среда,2.0,28,лек,ИТ-2
13.40-15.00,Проф.Англ,Чаусова Е.А.,Среда,1.0,28,сем,ИТ-2
13.40-15.00,Проф.Нем,Зюзина Е.В.,Среда,1.0,9,сем,ИТ-2
13.40-15.00,Анализ больших данных,Скрипников О.А.,Среда,2.0,27,лек,ИТ-2
,,,,,,,
09.00-10.20,Элективные курсы по физической культуре и спорту,Милюков А.П.,Четверг,1.0,Зал,лек,ИТ-2
10.30-11.50,Элективные курсы по физической культуре и спорту,Милюков А.П.,Четверг,1.0,Зал,лек,ИТ-2
12.10-13.30,Базовые информационные процессы и технологии на транспорте,Черняева С.Н.,Четверг,1.0,30,лаб,ИТ-2
,,,,,,,
12.10-13.30,Управление данными,Кузьменко Р.В.,Пятница,1.0,29,лек,ИТ-2
13.40-15.00,Управление данными,Кузьменко Р.В.,Пятница,1.0,29,лаб,ИТ-2
15.20-16.40,Архитектура информационных систем, Косарева Е.А.,Пятница,1.0,31,лек,ИТ-2
16.50-18.10,Архитектура информационных систем, Косарева Е.А.,Пятница,1.0,31,лаб,ИТ-2
